X,Y,ID,LOCN,MPD_NAME,ADDRESS,CITY,ZIP,MPD_TYPE,MAP_TYPE,LABEL,MAP_DESC,MPD_DESC,LD,FULLNAME,CDSCODE,CHARTER,MAP_TYPE_MAPPING,TOOLTIP,NLA_URL,Campus,Budget (incl c/o) FY24,Expenditures FY24,% Exp FY24
-13197693.6180797,4056213.66712849,595,1947,LOKRANTZ SP ED CTR,19451 WYANDOTTE ST,RESEDA,91335,H,SS,Lokrantz Spec Ed Ctr,"Span School (Span School, Special Ed School)",Handicapped (Special Ed),0,Sven Lokrantz Special Education Center,19647336060578, ,SS,Name: Sven Lokrantz Special Education Center\nAddress: 19451 WYANDOTTE ST RESEDA 91335,navigatela/reports/lausd_school_report.cfm?PK=595,LOKRANTZ SP ED CTR,4749540.0,4920997.670000003,1.0360998475641858
-13201583.7997112,4062880.33140588,603,8217,LAWRENCE MS,10100 VARIEL AVE,CHATSWORTH,91311,J,MS,Lawrence Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Ernest Lawrence Middle School,19647336058093, ,MS,Name: Ernest Lawrence Middle School\nAddress: 10100 VARIEL AVE CHATSWORTH 91311,navigatela/reports/lausd_school_report.cfm?PK=603,LAWRENCE MS,14000136.0,12318540.530000016,0.8798872046671559
-13166434.875603,4025880.8918021,617,8060,BETHUNE MS,155 W 69TH ST,LOS ANGELES,90003,J,MS,Bethune Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Mary McLeod Bethune Middle School,19647336058143, ,MS,Name: Mary McLeod Bethune Middle School\nAddress: 155 W 69TH ST LOS ANGELES 90003,navigatela/reports/lausd_school_report.cfm?PK=617,BETHUNE MS,16368413.0,13499208.139999993,0.8247108708706209
-13184299.9139495,4066811.68323136,631,8358,SAN FERNANDO MS,130 N BRAND BLVD,SAN FERNANDO,91340,J,MS,San Fernando Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,San Fernando Middle School,19647336058283, ,MS,Name: San Fernando Middle School\nAddress: 130 N BRAND BLVD SAN FERNANDO 91340,navigatela/reports/lausd_school_report.cfm?PK=631,SAN FERNANDO MS,11019151.0,8919693.770000003,0.8094719611338481
-13157817.2118861,4044370.81600159,633,8643,FRANKLIN HS,820 N AVE 54,LOS ANGELES,90042,S,HS,Franklin High,"High School (High School, Academy School, Continuation High School, Newcomer School, Community Day School, Special Ed School, Magnet Center on Regular Campus)",High School,0,Benjamin Franklin High School,19647331933043, ,HS,Name: Benjamin Franklin High School\nAddress: 820 N AVE 54 LOS ANGELES 90042,navigatela/reports/lausd_school_report.cfm?PK=633,FRANKLIN HS,20251607.0,19284145.080000028,0.9522278938160329
-13165794.7234068,4035239.48409582,662,2392,OLYMPIC PC,950 S ALBANY ST,LOS ANGELES,90015,EP,EP,Olympic PC,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Magnet Center on Regular Campus)",Elementary School,0,Olympic Primary Center,19647330109181, ,ES,Name: Olympic Primary Center\nAddress: 950 S ALBANY ST LOS ANGELES 90015,navigatela/reports/lausd_school_report.cfm?PK=662,OLYMPIC PC,3880219.0,3571285.9499999946,0.9203825737670979
-13164339.6194526,4036342.24257814,665,8497,SECONDARY CDS,"333 S BEAUDRY AVE., 18TH FL",LOS ANGELES,90017,CDS,O,Secondary CDS,"Adult Education, Skill Center, Occupational Center, Opportunity School, Community Day School",Opportunity School and Unit,0,Secondary Community Day School,19647331996651, ,O,"Name: Secondary Community Day School\nAddress: 333 S BEAUDRY AVE., 18TH FL LOS ANGELES 90017",navigatela/reports/lausd_school_report.cfm?PK=665,SECONDARY CDS,2328633.0,1811979.7599999998,0.778130242077648
-13167418.0982139,4005416.14633586,666,8487,WHITE MS,22102 S FIGUEROA,CARSON,90745,J,MS,White Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Stephen M. White Middle School,19647336058366, ,MS,Name: Stephen M. White Middle School\nAddress: 22102 S FIGUEROA CARSON 90745,navigatela/reports/lausd_school_report.cfm?PK=666,WHITE MS,22455591.0,17961211.659999978,0.7998547738066648
-13168324.1077258,4027019.58736458,676,8255,MUIR MS,5929 S VERMONT AVE,LOS ANGELES,90044,J,MS,Muir Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,John Muir Middle School,19647336058176, ,MS,Name: John Muir Middle School\nAddress: 5929 S VERMONT AVE LOS ANGELES 90044,navigatela/reports/lausd_school_report.cfm?PK=676,MUIR MS,13301272.0,10144826.869999984,0.7626959940372608
-13160008.4876527,4032099.02874209,686,3426,GARZA PC,2705 E HOSTETTER ST,LOS ANGELES,90022,EP,EP,Garza PC,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Magnet Center on Regular Campus)",Elementary School,0,Carmen Lomas Garza Primary Center,19647330109223, ,ES,Name: Carmen Lomas Garza Primary Center\nAddress: 2705 E HOSTETTER ST LOS ANGELES 90022,navigatela/reports/lausd_school_report.cfm?PK=686,GARZA PC,3124123.0,2957712.9499999937,0.94673383538356
-13169517.409261,4065031.59877451,699,8240,MOUNT GLEASON MS,10965 MT GLEASON AVE,SUNLAND,91040,J,MS,Mount Gleason Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Mount Gleason Middle School,19647336058168, ,MS,Name: Mount Gleason Middle School\nAddress: 10965 MT GLEASON AVE SUNLAND 91040,navigatela/reports/lausd_school_report.cfm?PK=699,MOUNT GLEASON MS,11401673.0,10956642.390000023,0.960967955316735
