X,Y,ID,LOCN,MPD_NAME,ADDRESS,CITY,ZIP,MPD_TYPE,MAP_TYPE,LABEL,MAP_DESC,MPD_DESC,LD,FULLNAME,CDSCODE,CHARTER,MAP_TYPE_MAPPING,TOOLTIP,NLA_URL,Campus,Budget (incl c/o) FY24,Expenditures FY24,% Exp FY24,Pct_Met_Above,Mean_Score,Participation Rate (%),Funding_Level
-13159310.0980712,4033639.67308393,373,8179,HOLLENBECK MS,2510 E SIXTH ST,LOS ANGELES,90023,J,MS,Hollenbeck Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Hollenbeck Middle School,19647336058051, ,MS,Name: Hollenbeck Middle School\nAddress: 2510 E SIXTH ST LOS ANGELES 90023,navigatela/reports/lausd_school_report.cfm?PK=373,HOLLENBECK MS,16630427.0,14997472.97000004,0.9018092542061632,40.665,2518.633333333333,96.38672111464538,High
-13165159.3707653,4037071.51033335,378,8045,CASTRO MS,1575 W 2ND ST,LOS ANGELES,90026,J,MS,Castro Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Sal B. Castro Middle School,19647330119701, ,MS,Name: Sal B. Castro Middle School\nAddress: 1575 W 2ND ST LOS ANGELES 90026,navigatela/reports/lausd_school_report.cfm?PK=378,CASTRO MS,5971812.0,5245988.40999999,0.8784583992262298,22.287499999999998,2471.7999999999997,95.23935651215976,Low
-13165947.8477285,4031898.41709116,392,8009,ADAMS MS,151 W 30TH ST,LOS ANGELES,90007,J,MS,Adams Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,John Adams Middle School,19647336057855, ,MS,Name: John Adams Middle School\nAddress: 151 W 30TH ST LOS ANGELES 90007,navigatela/reports/lausd_school_report.cfm?PK=392,ADAMS MS,11898164.0,10685046.549999986,0.8980416264223611,39.4875,2513.2000000000003,96.58654402931661,Low
-13177025.1191098,4034768.41265879,403,8741,LACES MAG,5931 W 18TH ST,LOS ANGELES,90035,SP,M,Los Angeles Ctr for Enriched Studies,Magnet School,Span Magnet,0,Los Angeles Center for Enriched Studies,19647331932847, ,M,Name: Los Angeles Center for Enriched Studies\nAddress: 5931 W 18TH ST LOS ANGELES 90035,navigatela/reports/lausd_school_report.cfm?PK=403,LACES MAG,15350962.0,14981213.44000003,0.9759136554438758,68.356,2603.975,98.60373060318008,High
-13192082.6677713,4061170.03013513,409,8182,HOLMES MS,9351 PASO ROBLES AVE,NORTHRIDGE,91325,J,MS,Holmes Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Oliver Wendell Holmes Middle School,19647336058069, ,MS,Name: Oliver Wendell Holmes Middle School\nAddress: 9351 PASO ROBLES AVE NORTHRIDGE 91325,navigatela/reports/lausd_school_report.cfm?PK=409,HOLMES MS,13734999.0,12506953.920000032,0.9105900859548683,59.91,2567.9666666666667,97.02373555028078,High
-13160982.7613439,4021466.27485955,423,8153,SOUTHEAST MS,2560 TWEEDY BLVD,SOUTH GATE,90280,J,MS,Southeast Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Southeast Middle School,19647330106989, ,MS,Name: Southeast Middle School\nAddress: 2560 TWEEDY BLVD SOUTH GATE 90280,navigatela/reports/lausd_school_report.cfm?PK=423,SOUTHEAST MS,18812953.0,17090885.510000005,0.9084637329397468,30.5125,2496.7666666666664,95.67070590233638,High
-13165048.2240579,4027539.61912553,451,8200,LOS ANGELES ACAD MS,644 E 56TH ST,LOS ANGELES,90011,J,MS,Los Angeles Academy Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Los Angeles Academy Middle School,19647336115794, ,MS,Name: Los Angeles Academy Middle School\nAddress: 644 E 56TH ST LOS ANGELES 90011,navigatela/reports/lausd_school_report.cfm?PK=451,LOS ANGELES ACAD MS,18390241.0,14644633.489999976,0.7963263499374464,29.1475,2484.0333333333333,94.35864159761975,High
-13186976.541133,4058389.23719909,467,8117,VISTA MS,15060 ROSCOE BLVD,VAN NUYS,91402,J,MS,Vista Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Vista Middle School,19647330106971, ,MS,Name: Vista Middle School\nAddress: 15060 ROSCOE BLVD VAN NUYS 91402,navigatela/reports/lausd_school_report.cfm?PK=467,VISTA MS,21051260.0,16640666.65000002,0.7904831658532563,29.2875,2482.233333333333,96.71827397560041,High
-13165684.3606259,4036086.4361081,483,8058,LIECHTY MS,650 S UNION AVE,LOS ANGELES,90017,J,MS,Liechty Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,John H. Liechty Middle School,19647330114199, ,MS,Name: John H. Liechty Middle School\nAddress: 650 S UNION AVE LOS ANGELES 90017,navigatela/reports/lausd_school_report.cfm?PK=483,LIECHTY MS,16407851.0,13613392.249999989,0.8296877055989836,25.125,2468.3333333333335,95.46814820833116,High
-13201191.4328694,4062702.10231582,498,8585,STONEY POINT HS,10010 DE SOTO AVE,CHATSWORTH,91311,C,HS,Stoney Point High,Continuation High School,Continuation High School,0,Stoney Point Continuation High School,19647331931559, ,HS,Name: Stoney Point Continuation High School\nAddress: 10010 DE SOTO AVE CHATSWORTH 91311,navigatela/reports/lausd_school_report.cfm?PK=498,STONEY POINT HS,2234894.0,2007401.169999996,0.8982086711942471,13.16,2456.0,93.17043515870071,Low
